Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.81028,20.022728,96.6,978865.75,978608.3063265166,257.4436734834453,246.9125346834453,256.6757008071291
-155.831276,20.039562,1.8,978881.31,978638.5504444148,242.75955558521673,242.56332318521672,251.86813319321155
-155.821617,20.016563,22.9,978877.06,978630.701201587,246.35879841307178,243.86228621307177,252.70548251270898
-155.823937,20.001065,25.0,978873.94,978629.1539252099,244.78607479005586,242.06062479005587,249.7127600960397
-155.823617,19.988898,29.3,978870.5,978627.1210755986,243.37892440136056,240.18469700136058,247.73747214330058
-155.858269,19.9589,2.1,978862.75,978633.7809437398,228.96905626018997,228.74011846018996,236.50446980761674
-155.839272,19.972233,3.0,978869.88,978634.2750666448,235.60493335523643,235.27787935523642,243.03669208487895
-155.677271,19.998228,805.6,978759.31,978388.0431232121,371.266876787995,283.44197598799497,292.88029877709374
-155.67695,19.985228,794.0,978757.13,978390.8694541964,366.2605458035832,279.7002538035832,288.911933389718
-155.742273,19.960231,477.6,978794.19,978487.0741115707,307.11588842922356,255.04889162922356,263.93530158860307
-155.70228,19.971897,688.8,978768.25,978422.5640351296,345.68596487038303,270.594366470383,280.74183435524037
-155.638941,20.030225,869.9,978760.25,978370.0562324456,390.1937675543595,295.3590093543595,306.2813163382498
-155.589777,20.039391,866.9,978760.06,978371.5143222347,388.545677765389,294.03797356538894,305.5963551752604
-155.680613,19.955563,765.4,978752.38,978397.977793823,354.40220617700834,270.9598289770083,280.49750807662764
-155.675609,19.901901,1005.2,978682.75,978320.8730042524,361.8769957475597,252.2921021475597,264.0479556932897
-155.569778,19.760241,1821.8,978522.75,978060.7754538935,461.9745461065322,263.3655537065322,280.33819496213727
-155.588119,19.768573,1782.8,978524.44,978073.2841281976,451.1558718023589,256.7985814023589,273.8957658345998
-155.625608,19.791906,1670.0,978537.06,978109.4212199877,427.63878001237754,245.57872001237754,262.0200815689404
-155.633116,19.812571,1716.9,978527.75,978096.1418258667,431.60817413334735,244.43516993334734,262.0465286381378
-155.63629,19.82607,1690.1,978536.75,978105.1860564302,431.56394356978126,247.31262176978126,265.52872452430984
-155.705608,19.901902,794.6,978717.56,978385.8638417366,331.6961582634831,245.07045546348309,257.84505055652716
-155.715618,19.885236,792.8,978708.5,978385.4572303395,323.04276966047473,236.61329926047472,247.1837826143329
-155.996945,19.639754,2.1,978839.5,978615.4312556126,224.06874438736122,223.8398065873612,242.8162539141461
-155.98895,19.63192,10.1,978840.13,978612.5141154084,227.61588459159248,226.51480279159247,246.13253164195672
-155.985608,19.620254,16.2,978839.75,978609.9650446604,229.78495533962268,228.01886373962267,248.10129057944582
-155.962279,19.565257,20.1,978841.75,978605.6265754917,236.12342450825963,233.93216270825963,254.93665621401303
-155.972288,19.595255,4.6,978843.38,978612.1206203841,231.2593796158908,230.7578968158908,249.96714751913626
